MAD,MAPE,RMSE,State,Test Type
670.374309004054,3.7748866975879403,931.9273044978823,RO,Holt_Winter (additive) casosAcumulado
2407.5009177876445,13.680705738223221,2949.8989962619803,RO,Holt_Winter (multiplicative)casosAcumulado
15.189094803247972,3.6196106807250645,17.010616699818854,RO,Holt_Winter (additive) obitosAcumulado
78.16774789630745,17.468836915027413,94.45740371175992,RO,Holt_Winter (multiplicative)obitosAcumulado
579.9274677285031,4.805720664588203,681.28801329083,AC,Holt_Winter (additive) casosAcumulado
568.562757673547,4.721068981882468,659.9091657645175,AC,Holt_Winter (multiplicative)casosAcumulado
4.358359393080804,1.4869196692943352,5.3258824881822475,AC,Holt_Winter (additive) obitosAcumulado
12.977293221208242,3.9366947168816773,16.133826226224063,AC,Holt_Winter (multiplicative)obitosAcumulado
2677.0387261501655,4.052113578368418,3111.820902716404,AM,Holt_Winter (additive) casosAcumulado
2667.4461808806636,4.040189993574078,3087.0965648231336,AM,Holt_Winter (multiplicative)casosAcumulado
107.1671285315081,3.961497701274446,122.688780937003,AM,Holt_Winter (additive) obitosAcumulado
130.60977964457746,4.822134714470342,151.8232050169975,AM,Holt_Winter (multiplicative)obitosAcumulado
2292.441256175629,18.845091399354093,3319.2839430702043,RR,Holt_Winter (additive) casosAcumulado
2501.8982175542715,20.760731946748884,3561.279217570428,RR,Holt_Winter (multiplicative)casosAcumulado
8.853578099201796,3.613940287126425,10.01499770497858,RR,Holt_Winter (additive) obitosAcumulado
29.71622074095982,11.556102575274634,35.06723400516008,RR,Holt_Winter (multiplicative)obitosAcumulado
10756.646955652428,11.674862190206692,13075.091389015746,PA,Holt_Winter (additive) casosAcumulado
10481.379158197156,11.381733306705256,12717.448940475046,PA,Holt_Winter (multiplicative)casosAcumulado
167.39637675128904,3.59904136574394,184.97440856992247,PA,Holt_Winter (additive) obitosAcumulado
180.95834693030372,3.8786304974493313,205.60051753966223,PA,Holt_Winter (multiplicative)obitosAcumulado
2727.7910959783653,10.529659144586788,3424.4675469911335,AP,Holt_Winter (additive) casosAcumulado
1239.9653957906992,4.98160834705164,1656.7116527422206,AP,Holt_Winter (multiplicative)casosAcumulado
18.038729168589988,4.847221254057763,18.869725127010256,AP,Holt_Winter (additive) obitosAcumulado
16.42191924774839,4.392656524891482,17.469428324649343,AP,Holt_Winter (multiplicative)obitosAcumulado
1063.7007672063996,11.47313225325778,1312.231061795911,TO,Holt_Winter (additive) casosAcumulado
1253.9811485674286,13.56809291090943,1528.0811567545036,TO,Holt_Winter (multiplicative)casosAcumulado
8.060782779063807,4.615450736914523,9.109967398591552,TO,Holt_Winter (additive) obitosAcumulado
6.257513377673593,3.533163765819735,8.278138388932744,TO,Holt_Winter (multiplicative)obitosAcumulado
638.4353264979345,0.9395179645751909,823.9470461002729,MA,Holt_Winter (additive) casosAcumulado
1660.5840916438274,2.3192316506761688,1811.2418632090657,MA,Holt_Winter (multiplicative)casosAcumulado
23.829727798473712,1.437320426050549,25.758878628931118,MA,Holt_Winter (additive) obitosAcumulado
77.12727206090094,4.305354980564307,83.40021305240154,MA,Holt_Winter (multiplicative)obitosAcumulado
1258.4212513595248,7.623799065122633,1629.1045397809553,PI,Holt_Winter (additive) casosAcumulado
564.2344004569028,3.7793188221835528,648.0797982053067,PI,Holt_Winter (multiplicative)casosAcumulado
43.095560021762665,8.73236481235468,44.42275110887448,PI,Holt_Winter (additive) obitosAcumulado
174.6032237135337,32.73087532058456,207.13148430743212,PI,Holt_Winter (multiplicative)obitosAcumulado
3211.3548502973545,3.2749004249255935,3626.6139326841408,CE,Holt_Winter (additive) casosAcumulado
14112.865006967184,14.23434284289431,16271.765755164433,CE,Holt_Winter (multiplicative)casosAcumulado
212.7094485329136,3.689498913998185,262.5362373410127,CE,Holt_Winter (additive) obitosAcumulado
264.51864450697093,4.640349122045538,288.3108099954102,CE,Holt_Winter (multiplicative)obitosAcumulado
1820.5151104269548,8.36072665378552,2417.3627020253584,RN,Holt_Winter (additive) casosAcumulado
1415.2036120570747,7.464005701701034,1538.6156314149928,RN,Holt_Winter (multiplicative)casosAcumulado
83.66590198283455,10.074922727038777,106.46013819347897,RN,Holt_Winter (additive) obitosAcumulado
75.69059774236592,9.141927080852135,96.08377906058134,RN,Holt_Winter (multiplicative)obitosAcumulado
4075.745846501733,10.159412770311263,4849.083306190834,PB,Holt_Winter (additive) casosAcumulado
3419.8102014572246,8.701682938038264,4071.705533212654,PB,Holt_Winter (multiplicative)casosAcumulado
21.930745313842152,2.8786231966730482,22.46171717721464,PB,Holt_Winter (additive) obitosAcumulado
10.33655642039583,1.2742065185643174,12.796073389027447,PB,Holt_Winter (multiplicative)obitosAcumulado
724.5154714479668,1.4043374998666056,822.170441654742,PE,Holt_Winter (additive) casosAcumulado
747.5664852372502,1.4721806948149,837.7751150091909,PE,Holt_Winter (multiplicative)casosAcumulado
233.19203973301552,5.370001333472472,243.96849540908804,PE,Holt_Winter (additive) obitosAcumulado
216.05007109067162,4.9552688369551925,228.7530516659114,PE,Holt_Winter (multiplicative)obitosAcumulado
2025.0892463667838,6.81462357846529,2159.7675143367915,AL,Holt_Winter (additive) casosAcumulado
5310.876504402802,17.172315773103712,6320.360679572069,AL,Holt_Winter (multiplicative)casosAcumulado
33.56567534496174,3.663722771005023,35.912676302711134,AL,Holt_Winter (additive) obitosAcumulado
63.44220925100972,6.807538203705723,72.41539803938673,AL,Holt_Winter (multiplicative)obitosAcumulado
4040.0074828685397,19.618101782988738,4593.205796519959,SE,Holt_Winter (additive) casosAcumulado
