,MAD,MAPE,RMSE,State,Test Type,order
0,422.48997791074805,2.6556583458683862,469.0514979620399,RO,ARIMA casosAcumulado,"(0, 2, 1)"
1,23.78368245122552,5.4755919026805415,27.602862228807286,RO,ARIMA obitosAcumulado,"(2, 2, 3)"
2,477.40063383613926,3.9769104441057403,549.76095766325,AC,ARIMA casosAcumulado,"(1, 2, 0)"
3,28.06297360453894,8.739481877870151,31.103932179128442,AC,ARIMA obitosAcumulado,"(0, 2, 2)"
4,2859.701302752176,4.391847976268563,3134.2887391834897,AM,ARIMA casosAcumulado,"(5, 2, 3)"
5,138.61017044518425,5.115764945043807,161.76169880902972,AM,ARIMA obitosAcumulado,"(1, 2, 2)"
6,2343.70533132306,19.32740063968103,3373.5343525918015,RR,ARIMA casosAcumulado,"(1, 2, 0)"
7,18.33082446037134,7.2659518864474,20.671844337644625,RR,ARIMA obitosAcumulado,"(3, 2, 3)"
8,2192.640513051917,2.7133487105694822,2470.5153092971186,PA,ARIMA casosAcumulado,"(2, 2, 3)"
9,346.15838855707244,7.391434052774329,399.1282844943008,PA,ARIMA obitosAcumulado,"(0, 2, 2)"
10,2068.8542160399143,7.99717200772338,2651.8774438763485,AP,ARIMA casosAcumulado,"(0, 2, 1)"
11,38.79188021563527,10.226314643101226,42.83473349114997,AP,ARIMA obitosAcumulado,"(1, 2, 2)"
12,204.86984672277458,2.445388954709123,216.65165530695083,TO,ARIMA casosAcumulado,"(0, 2, 4)"
13,8.330534133435274,4.71705129441478,10.979781452899665,TO,ARIMA obitosAcumulado,"(2, 2, 3)"
14,1101.364957017085,1.5427959919720629,1288.2281444155722,MA,ARIMA casosAcumulado,"(4, 2, 1)"
15,96.95747615409357,5.399322734474429,105.19376311346592,MA,ARIMA obitosAcumulado,"(1, 2, 1)"
16,1045.2903219006835,6.426242425210807,1322.6127842749718,PI,ARIMA casosAcumulado,"(0, 2, 2)"
17,63.77934743940122,12.543030175647404,68.17669603120653,PI,ARIMA obitosAcumulado,"(2, 2, 0)"
18,2040.3977474801504,2.1022772045554947,2512.4964363111735,CE,ARIMA casosAcumulado,"(0, 2, 1)"
19,554.1578237467013,9.603682290591765,661.1889227928003,CE,ARIMA obitosAcumulado,"(0, 2, 1)"
20,1543.379439141695,7.18558925170474,2070.3481881920525,RN,ARIMA casosAcumulado,"(2, 2, 2)"
21,69.36549188009673,8.405944396672012,87.70011269509243,RN,ARIMA obitosAcumulado,"(2, 2, 1)"
22,1860.8257828009537,5.089656449478725,2034.3951792896553,PB,ARIMA casosAcumulado,"(4, 2, 4)"
23,33.92808461315899,4.257657242170247,35.6711077712891,PB,ARIMA obitosAcumulado,"(0, 2, 1)"
24,840.1825275312967,1.6444717023199513,918.9804176283661,PE,ARIMA casosAcumulado,"(0, 2, 2)"
25,306.02775010667506,6.9872914229767495,328.82784939287495,PE,ARIMA obitosAcumulado,"(0, 2, 1)"
26,2454.2731077744384,8.111540084383638,2743.0616253107223,AL,ARIMA casosAcumulado,"(3, 2, 3)"
27,62.03636414423681,6.6710272534183765,70.0799460581292,AL,ARIMA obitosAcumulado,"(0, 2, 2)"
28,4258.778889105461,20.54932861439881,4916.35886442013,SE,ARIMA casosAcumulado,"(0, 2, 1)"
29,14.95285121806359,3.0760436571078955,17.992432155765258,SE,ARIMA obitosAcumulado,"(2, 2, 0)"
30,3023.0690190606188,4.99242166384185,5259.19327117526,BA,ARIMA casosAcumulado,"(0, 2, 1)"
31,38.78023850160773,2.5396460738096294,49.23773035319462,BA,ARIMA obitosAcumulado,"(0, 2, 3)"
32,2324.1954486012064,6.753573635216731,3404.1003822262132,MG,ARIMA casosAcumulado,"(0, 2, 1)"
33,82.66335264881113,10.597423721579649,104.85539386823645,MG,ARIMA obitosAcumulado,"(0, 2, 1)"
34,2384.828396324586,6.189531542617849,2863.2221126725576,ES,ARIMA casosAcumulado,"(3, 2, 3)"
35,23.06412249016506,1.731066783445273,29.032654915534234,ES,ARIMA obitosAcumulado,"(0, 2, 1)"
36,2173.7767216265693,2.2287999258376052,2362.0827603469497,RJ,ARIMA casosAcumulado,"(1, 2, 2)"
37,174.43221612710477,1.9482861538141807,202.34726891416764,RJ,ARIMA obitosAcumulado,"(5, 2, 2)"
38,5598.108420143526,2.508694221692344,6620.680652444004,SP,ARIMA casosAcumulado,"(2, 2, 2)"
39,267.4129597157238,2.0973021548596087,315.27289311743493,SP,ARIMA obitosAcumulado,"(2, 2, 3)"
40,1935.6929815977264,11.210930157087857,2468.06825691847,PR,ARIMA casosAcumulado,"(0, 2, 1)"
41,7.345838094999568,1.654262312949186,9.892270834570601,PR,ARIMA obitosAcumulado,"(2, 2, 2)"
42,2328.3862074845074,10.749889712741872,3113.324073022605,SC,ARIMA casosAcumulado,"(0, 2, 1)"
43,22.41858486439763,7.95751159216774,28.26684929663567,SC,ARIMA obitosAcumulado,"(2, 2, 3)"
44,1965.3825263606614,8.864799939077656,2381.4366489017916,RS,ARIMA casosAcumulado,"(0, 2, 1)"
45,26.68615401971408,5.275511951319496,34.71401927194896,RS,ARIMA obitosAcumulado,"(2, 2, 3)"
46,310.07887583338027,5.345543441305673,392.8234383496551,MS,ARIMA casosAcumulado,"(1, 2, 1)"
47,7.685176187639326,12.57553768702586,10.58472136454144,MS,ARIMA obitosAcumulado,"(1, 2, 2)"
48,1436.5807418530117,12.13955887764348,1879.7208573445896,MT,ARIMA casosAcumulado,"(0, 2, 3)"
49,29.390118694387546,7.380107206598993,37.372364841112905,MT,ARIMA obitosAcumulado,"(1, 2, 2)"
