MAD,MAPE,RMSE,State,Test Type
791.398633578126,17.974557773109556,978.2146014008741,PA,yhat obitosAcumulado
734.0754056525462,16.650560721284712,901.5628243798916,PA,yhat_lower obitosAcumulado
840.6324809066107,19.115773247148578,1047.5634501096033,PA,yhat_upper obitosAcumulado
6262.794307069511,26.340559575976652,7177.300084704058,AP,yhat casosAcumulado
6201.292104978527,25.82372490122623,7164.86178836814,AP,yhat_lower casosAcumulado
6312.634137230749,26.79298938195915,7192.892023016594,AP,yhat_upper casosAcumulado
57.227339207154145,15.891243343577013,65.03542499042858,AP,yhat obitosAcumulado
55.13582893039931,15.222963269274691,62.49651423184552,AP,yhat_lower obitosAcumulado
59.24099791352745,16.5382160175145,67.81406495372667,AP,yhat_upper obitosAcumulado
1823.048072214291,21.831659758806452,2098.6338038929507,TO,yhat casosAcumulado
1755.7107228407472,20.871212876667215,2026.4538937571938,TO,yhat_lower casosAcumulado
1899.8895639396858,22.91780578721103,2187.5746219564785,TO,yhat_upper casosAcumulado
34.70320520295658,20.52618472921297,39.090633383727415,TO,yhat obitosAcumulado
34.91734383985697,20.401470542341542,39.76706086919012,TO,yhat_lower obitosAcumulado
34.46017055753992,20.634803923247404,38.670760705164376,TO,yhat_upper obitosAcumulado
13157.999091074409,19.503038843256743,15593.034248279802,MA,yhat casosAcumulado
12522.705088143704,18.475189523282648,14751.521216303914,MA,yhat_lower casosAcumulado
13902.785526155174,20.69251251483946,16544.454781347176,MA,yhat_upper casosAcumulado
283.0237061499495,16.15080686410568,327.7997984427884,MA,yhat obitosAcumulado
279.6311803971381,15.827716382484786,326.88777239171395,MA,yhat_lower obitosAcumulado
286.7748196297978,16.495383781042726,330.89856557474934,MA,yhat_upper obitosAcumulado
4434.1737939792365,27.93391715831807,5430.374237686368,PI,yhat casosAcumulado
4482.333418683829,27.965485659282113,5530.927867056534,PI,yhat_lower casosAcumulado
4392.105412083414,27.964474113381726,5342.44492129665,PI,yhat_upper casosAcumulado
136.04071058917611,25.559670390973327,167.53507092911772,PI,yhat obitosAcumulado
139.14650500864224,25.944385420129628,172.25529947889243,PI,yhat_lower obitosAcumulado
133.99538570416203,25.426422884708792,163.27837727233506,PI,yhat_upper obitosAcumulado
16677.038568763754,18.07086375467572,19399.566294378452,CE,yhat casosAcumulado
16334.89833690726,17.49557531757036,19142.037012986075,CE,yhat_lower casosAcumulado
16970.658752699943,18.58099985191587,19777.59976884575,CE,yhat_upper casosAcumulado
809.899700429236,14.998572593584363,955.9555105173932,CE,yhat obitosAcumulado
772.6759447848522,14.230930741699034,905.7228354286663,CE,yhat_lower obitosAcumulado
841.619918717083,15.663338079509343,1007.3740868139718,CE,yhat_upper obitosAcumulado
5839.522641584118,27.743589211743664,7036.761456242628,RN,yhat casosAcumulado
5861.973831884736,27.480560142782423,7156.299526245521,RN,yhat_lower casosAcumulado
5815.704716603027,28.01030668845874,6935.396236211951,RN,yhat_upper casosAcumulado
